id,left,top,right,bottom,x,y,admin,volume,firstgridprob,desgridprob
729,15480049.27,4273653.657,15481049.27,4272653.657,13,41,奥多摩町,346,1.19E-05,0
730,15480049.27,4272653.657,15481049.27,4271653.657,13,40,奥多摩町,346,1.19E-05,0
731,15480049.27,4271653.657,15481049.27,4270653.657,13,39,奥多摩町,346,1.19E-05,0
732,15480049.27,4270653.657,15481049.27,4269653.657,13,38,奥多摩町,346,1.19E-05,0
733,15480049.27,4269653.657,15481049.27,4268653.657,13,37,奥多摩町,346,1.19E-05,0
734,15480049.27,4268653.657,15481049.27,4267653.657,13,36,檜原村,204,7.00E-06,0
735,15480049.27,4267653.657,15481049.27,4266653.657,13,35,檜原村,204,7.00E-06,0
736,15480049.27,4266653.657,15481049.27,4265653.657,13,34,檜原村,204,7.00E-06,0
737,15480049.27,4265653.657,15481049.27,4264653.657,13,33,檜原村,204,7.00E-06,0
738,15480049.27,4264653.657,15481049.27,4263653.657,13,32,檜原村,204,7.00E-06,1.35567E-05
739,15480049.27,4263653.657,15481049.27,4262653.657,13,31,檜原村,204,7.00E-06,1.26791E-05
740,15480049.27,4262653.657,15481049.27,4261653.657,13,30,檜原村,204,7.00E-06,0
741,15480049.27,4261653.657,15481049.27,4260653.657,13,29,檜原村,204,7.00E-06,0
742,15480049.27,4260653.657,15481049.27,4259653.657,13,28,檜原村,204,7.00E-06,0
743,15480049.27,4259653.657,15481049.27,4258653.657,13,27,檜原村,204,7.00E-06,0
774,15481049.27,4283653.657,15482049.27,4282653.657,14,51,奥多摩町,346,1.19E-05,0
775,15481049.27,4282653.657,15482049.27,4281653.657,14,50,奥多摩町,346,1.19E-05,0
776,15481049.27,4281653.657,15482049.27,4280653.657,14,49,奥多摩町,346,1.19E-05,0
777,15481049.27,4280653.657,15482049.27,4279653.657,14,48,奥多摩町,346,1.19E-05,0
778,15481049.27,4279653.657,15482049.27,4278653.657,14,47,奥多摩町,346,1.19E-05,0
779,15481049.27,4278653.657,15482049.27,4277653.657,14,46,奥多摩町,346,1.19E-05,0
780,15481049.27,4277653.657,15482049.27,4276653.657,14,45,奥多摩町,346,1.19E-05,0
781,15481049.27,4276653.657,15482049.27,4275653.657,14,44,奥多摩町,346,1.19E-05,0
782,15481049.27,4275653.657,15482049.27,4274653.657,14,43,奥多摩町,346,1.19E-05,0
783,15481049.27,4274653.657,15482049.27,4273653.657,14,42,奥多摩町,346,1.19E-05,0
784,15481049.27,4273653.657,15482049.27,4272653.657,14,41,奥多摩町,346,1.19E-05,0
785,15481049.27,4272653.657,15482049.27,4271653.657,14,40,奥多摩町,346,1.19E-05,0
786,15481049.27,4271653.657,15482049.27,4270653.657,14,39,奥多摩町,346,1.19E-05,0
787,15481049.27,4270653.657,15482049.27,4269653.657,14,38,奥多摩町,346,1.19E-05,0
788,15481049.27,4269653.657,15482049.27,4268653.657,14,37,奥多摩町,346,1.19E-05,1.88436E-06
789,15481049.27,4268653.657,15482049.27,4267653.657,14,36,檜原村,204,7.00E-06,0
790,15481049.27,4267653.657,15482049.27,4266653.657,14,35,檜原村,204,7.00E-06,0
