id,left,top,right,bottom,AgricultureFishing,BuildingCivil,Chemicals,Machine,Market,Media,MetalProducts,Metalworking,Mining,OtherProduct,Service,TransportIndustry,Warehouse,x,y,gridprob
451,15475049.27,4276653.657,15476049.27,4275653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,44,0
452,15475049.27,4275653.657,15476049.27,4274653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,43,0
453,15475049.27,4274653.657,15476049.27,4273653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,42,0
454,15475049.27,4273653.657,15476049.27,4272653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,41,0
455,15475049.27,4272653.657,15476049.27,4271653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,40,0
456,15475049.27,4271653.657,15476049.27,4270653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,39,0
457,15475049.27,4270653.657,15476049.27,4269653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,8,38,1.26791E-05
458,15475049.27,4269653.657,15476049.27,4268653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,37,0
459,15475049.27,4268653.657,15476049.27,4267653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,36,0
460,15475049.27,4267653.657,15476049.27,4266653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,35,0
461,15475049.27,4266653.657,15476049.27,4265653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,34,0
462,15475049.27,4265653.657,15476049.27,4264653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,33,0
463,15475049.27,4264653.657,15476049.27,4263653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,32,0
464,15475049.27,4263653.657,15476049.27,4262653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,31,0
465,15475049.27,4262653.657,15476049.27,4261653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,30,0
496,15476049.27,4286653.657,15477049.27,4285653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,54,0
497,15476049.27,4285653.657,15477049.27,4284653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,53,0
498,15476049.27,4284653.657,15477049.27,4283653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,52,0
499,15476049.27,4283653.657,15477049.27,4282653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,51,0
500,15476049.27,4282653.657,15477049.27,4281653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,50,0
501,15476049.27,4281653.657,15477049.27,4280653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,49,0
502,15476049.27,4280653.657,15477049.27,4279653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,48,0
503,15476049.27,4279653.657,15477049.27,4278653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,47,0
504,15476049.27,4278653.657,15477049.27,4277653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,46,0
505,15476049.27,4277653.657,15477049.27,4276653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,45,0
506,15476049.27,4276653.657,15477049.27,4275653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,44,0
